    alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  27.900   5.8821   0.00000   0.00000  -1.2996   0.0000   0.0000
  28.000   5.9015   0.00000   0.00000  -1.3027   0.0000   0.0000
  28.100   5.9209   0.00000   0.00000  -1.3057   0.0000   0.0000
  28.200   5.9402   0.00000   0.00000  -1.3088   0.0000   0.0000
  28.300   5.9595   0.00000   0.00000  -1.3118   0.0000   0.0000
  28.400   5.9788   0.00000   0.00000  -1.3148   0.0000   0.0000
  28.500   5.9981   0.00000   0.00000  -1.3178   0.0000   0.0000
  28.600   6.0174   0.00000   0.00000  -1.3208   0.0000   0.0000
  28.700   6.0367   0.00000   0.00000  -1.3238   0.0000   0.0000
  28.800   6.0559   0.00000   0.00000  -1.3267   0.0000   0.0000
  28.900   6.0751   0.00000   0.00000  -1.3296   0.0000   0.0000
  29.000   6.0943   0.00000   0.00000  -1.3326   0.0000   0.0000
  29.100   6.1135   0.00000   0.00000  -1.3354   0.0000   0.0000
  29.200   6.1326   0.00000   0.00000  -1.3383   0.0000   0.0000
  29.300   6.1518   0.00000   0.00000  -1.3412   0.0000   0.0000
  29.400   6.1709   0.00000   0.00000  -1.3440   0.0000   0.0000
  29.500   6.1900   0.00000   0.00000  -1.3469   0.0000   0.0000
  29.600   6.2091   0.00000   0.00000  -1.3497   0.0000   0.0000
  29.700   6.2282   0.00000   0.00000  -1.3525   0.0000   0.0000
  29.800   6.2472   0.00000   0.00000  -1.3553   0.0000   0.0000
  29.900   6.2662   0.00000   0.00000  -1.3580   0.0000   0.0000
  30.000   6.2853   0.00000   0.00000  -1.3608   0.0000   0.0000
  30.100   6.3042   0.00000   0.00000  -1.3635   0.0000   0.0000
  30.200   6.3232   0.00000   0.00000  -1.3663   0.0000   0.0000
  30.300   6.3422   0.00000   0.00000  -1.3690   0.0000   0.0000
  30.400   6.3611   0.00000   0.00000  -1.3716   0.0000   0.0000
  30.500   6.3800   0.00000   0.00000  -1.3743   0.0000   0.0000
  30.600   6.3989   0.00000   0.00000  -1.3770   0.0000   0.0000
  30.700   6.4178   0.00000   0.00000  -1.3796   0.0000   0.0000
  30.800   6.4366   0.00000   0.00000  -1.3822   0.0000   0.0000
  30.900   6.4555   0.00000   0.00000  -1.3848   0.0000   0.0000
  31.000   6.4743   0.00000   0.00000  -1.3874   0.0000   0.0000
  31.100   6.4931   0.00000   0.00000  -1.3900   0.0000   0.0000
  31.200   6.5119   0.00000   0.00000  -1.3925   0.0000   0.0000
  31.300   6.5306   0.00000   0.00000  -1.3950   0.0000   0.0000
  31.400   6.5494   0.00000   0.00000  -1.3976   0.0000   0.0000
  31.500   6.5681   0.00000   0.00000  -1.4001   0.0000   0.0000
  31.600   6.5868   0.00000   0.00000  -1.4025   0.0000   0.0000
  31.700   6.6054   0.00000   0.00000  -1.4050   0.0000   0.0000
  31.800   6.6241   0.00000   0.00000  -1.4074   0.0000   0.0000
  31.900   6.6427   0.00000   0.00000  -1.4099   0.0000   0.0000
  32.000   6.6614   0.00000   0.00000  -1.4123   0.0000   0.0000
  32.100   6.6800   0.00000   0.00000  -1.4147   0.0000   0.0000
  32.200   6.6985   0.00000   0.00000  -1.4171   0.0000   0.0000
  32.300   6.7171   0.00000   0.00000  -1.4194   0.0000   0.0000
  32.400   6.7356   0.00000   0.00000  -1.4218   0.0000   0.0000
  32.500   6.7541   0.00000   0.00000  -1.4241   0.0000   0.0000
  32.600   6.7726   0.00000   0.00000  -1.4264   0.0000   0.0000
